replication,current_avrage_queue,current_finished_precent,current_tired_leaving_precent,current_avg_waiting_time,alternative1_avrage_queue,alternative1_finished_precent,alternative1_tired_leaving_precent,alternative1_avg_waiting_time,alternative2_avrage_queue,alternative2_finished_precent,alternative2_tired_leaving_precent,alternative2_avg_waiting_time
34,244.2785268,0.054255319,0.100840336,150.7480816,83.7325012,0.083715596,0.103448276,104.9210728,43.71222108,0.085131894,0.058823529,86.48545518
35,226.820414,0.068181818,0.109489051,146.717449,81.79291438,0.085714286,0.165217391,101.0561799,52.07909705,0.079954955,0.071969697,91.63961425
36,242.8640056,0.061674009,0.15037594,142.741621,71.75081335,0.084101382,0.16017316,105.9580726,59.03704718,0.079646018,0.066929134,103.1711998
37,232.1202292,0.061356297,0.167832168,145.2844399,90.49301021,0.07782516,0.135135135,103.7948972,50.00600457,0.082959641,0.082397004,93.72448065
38,246.715148,0.063973064,0.136,139.2060017,85.39562688,0.085180863,0.162280702,93.81318059,58.63008552,0.087635054,0.087452471,89.27145083
39,223.9185415,0.062913907,0.134920635,142.588708,73.79817047,0.077812829,0.130232558,114.549585,72.47370354,0.078579117,0.104417671,85.4956231
40,229.1503622,0.065701559,0.122137405,144.1387796,91.50089575,0.077342048,0.14354067,106.598733,54.05473152,0.077342048,0.056910569,103.8649311
41,247.1084026,0.050847458,0.110169492,146.7363496,87.56616532,0.081229418,0.140096618,101.7389888,62.19177828,0.079295154,0.051587302,95.48505007
42,242.817707,0.054054054,0.140495868,147.6245702,78.27376993,0.080173348,0.14084507,103.4273406,56.12944536,0.076754386,0.093117409,101.7055237
43,238.2214587,0.064261556,0.115702479,142.2256067,82.07265192,0.078494624,0.096153846,108.6449868,47.7597963,0.077864294,0.078431373,101.9110822
44,234.675592,0.07980653,0.171428571,135.9446476,73.38759731,0.086146682,0.127118644,98.14514563,54.25715601,0.079646018,0.070866142,92.25399292
45,232.1428994,0.064876957,0.1,140.7638579,71.65335031,0.082774049,0.141025641,97.99113272,56.84779358,0.080989876,0.058091286,100.4558397
46,230.8083164,0.064876957,0.123076923,143.598824,77.648135,0.076756757,0.114893617,106.9615822,57.33139488,0.081264108,0.05904059,101.0301756
